Hostname,Dir Name,Dir Size Mb,Dir Size Mb
mccmanagement-mid-prod3-2,cur,42846,42846.0
mccmanagement-mid-prod2-2,cur,29828,29828.0
mccmanagement-mid-prod2-1,cur,28862,28862.0
laredoute-mid-prod12-2,cur,18778,18778.0
laredoute-mid-prod12-1,cur,18744,18744.0
laredoute-mid-prod13-1,cur,16886,16886.0
petitbateau-mkt-prod3-2,cur,12591,12591.0
aswatson-mid-prod2-3,new,11819,11819.0
adeoservicesactivation-mid-prod2-1,cur,6022,6022.0
adeoservicesactivation-mid-prod2-2,cur,6011,6011.0
safewayinc-mkt-prod3-2,cur,4856,4856.0
leboncoin-mid-prod3-1,cur,3392,3392.0
morganstanley-mid-prod2-2,cur,3264,3264.0
pentagonfcu-mkt-prod1-1,cur,2489,2489.0
morganstanley-mid-prod2-1,cur,2147,2147.0
leboncoin-mid-prod3-2,cur,1838,1838.0
conad-mid-prod1-2,cur,1682,1682.0
inspop-rt-prod2-2,cur,1574,1574.0
gmde-rt-prod6-1,cur,1105,1105.0
gmde-rt-prod6-3,cur,1093,1093.0
systeme-u-rt-prod2-1,cur,1092,1092.0
laredoute-mid-prod12-1,new,1084,1084.0
laredoute-mid-prod12-2,new,1061,1061.0
inspop-rt-prod4-1,cur,1050,1050.0
ebookers-mkt-prod1-1,cur,1037,1037.0
systeme-u-rt-prod2-2,cur,1036,1036.0
bccsi-mid-prod1-1,cur,1012,1012.0
coopse-mkt-prod2-3,new,999,999.0
renault-mid-prod2-3,new,979,979.0
mscom-mkt-prod78-1,cur,978,978.0
inspop-rt-prod4-2,cur,967,967.0
bjs-rt-prod8-2,cur,918,918.0
bccsi-mid-prod1-2,cur,890,890.0
gmde-rt-prod6-2,cur,887,887.0
unicaja-rt-prod2-1,cur,874,874.0
tv4-mkt-prod3-2,cur,870,870.0
freshthyme-mkt-prod1-2,cur,809,809.0
riteaid-rt-prod2-3,cur,799,799.0
americafirstcreditunion-mid-prod1-1,cur,790,790.0
oresundsbron-mkt-prod2-1,cur,776,776.0
americafirstcreditunion-mid-prod1-2,cur,775,775.0
unicaja-rt-prod2-2,cur,748,748.0
sportsbet-rt-prod2-1,cur,718,718.0
laredoute-rt-prod14-1,cur,696,696.0
riteaid-rt-prod2-1,cur,693,693.0
riteaid-rt-prod2-2,cur,678,678.0
laredoute-rt-prod15-2,cur,653,653.0
aldisued-rt-prod6-2,cur,650,650.0
aldisued-rt-prod6-3,cur,649,649.0
laredoute-rt-prod15-1,cur,643,643.0
adeoservicesactivation-mid-prod2-2,new,634,634.0
aldisued-rt-prod6-1,cur,632,632.0
adeoservicesactivation-mid-prod2-1,new,629,629.0
sparknz-mid-prod3-2,cur,611,611.0
mobivia-rt-prod2-2,cur,557,557.0
allianzaustralia-mid-prod3-2,cur,553,553.0
mmsngaa-rt-prod2-1,cur,552,552.0
mobivia-rt-prod2-1,cur,536,536.0
francetv-rt-prod2-2,cur,526,526.0
allianzaustralia-mid-prod3-1,cur,525,525.0
francetv-rt-prod2-4,cur,522,522.0
