Hostname,Dir Name,Dir Size Mb,Dir Size Mb
mccmanagement-mid-prod3-2,cur,42682,42682.0
mccmanagement-mid-prod2-1,cur,42070,42070.0
mccmanagement-mid-prod2-2,cur,40955,40955.0
mccmanagement-mid-prod3-1,cur,36994,36994.0
laredoute-mid-prod13-1,cur,15648,15648.0
laredoute-mid-prod12-2,cur,15530,15530.0
laredoute-mid-prod12-1,cur,15493,15493.0
laredoute-mid-prod13-2,cur,14470,14470.0
leboncoin-mid-prod3-1,cur,14166,14166.0
petitbateau-mkt-prod3-2,cur,12261,12261.0
aswatson-mid-prod2-3,new,10660,10660.0
leboncoin-mid-prod3-2,new,10379,10379.0
leboncoin-mid-prod3-2,cur,9810,9810.0
leboncoin-mid-prod3-1,new,8100,8100.0
leboncoin-mid-prod4-1,new,7701,7701.0
leboncoin-mid-prod4-2,new,7630,7630.0
adeoservicesactivation-mid-prod2-1,cur,5436,5436.0
adeoservicesactivation-mid-prod2-2,cur,5420,5420.0
safewayinc-mkt-prod3-2,cur,4555,4555.0
morganstanley-mid-prod2-2,cur,3174,3174.0
pentagonfcu-mkt-prod1-1,cur,2179,2179.0
morganstanley-mid-prod2-1,cur,2066,2066.0
conad-mid-prod1-2,cur,1523,1523.0
inspop-rt-prod2-2,cur,1496,1496.0
laredoute-mid-prod12-2,new,1133,1133.0
laredoute-mid-prod13-1,new,1130,1130.0
laredoute-mid-prod12-1,new,1110,1110.0
gmde-rt-prod6-1,cur,1095,1095.0
gmde-rt-prod6-3,cur,1086,1086.0
systeme-u-rt-prod2-1,cur,1017,1017.0
e5mode-mkt-prod1-1,cur,1016,1016.0
coopse-mkt-prod2-3,new,996,996.0
inspop-rt-prod4-1,cur,994,994.0
systeme-u-rt-prod2-2,cur,970,970.0
ebookers-mkt-prod1-1,cur,965,965.0
inspop-rt-prod4-2,cur,916,916.0
bjs-rt-prod8-2,cur,885,885.0
gmde-rt-prod6-2,cur,876,876.0
renault-mid-prod2-3,new,860,860.0
bccsi-mid-prod1-1,cur,835,835.0
tv4-mkt-prod3-2,cur,826,826.0
unicaja-rt-prod2-1,cur,808,808.0
freshthyme-mkt-prod1-2,cur,802,802.0
americafirstcreditunion-mid-prod1-1,cur,779,779.0
riteaid-rt-prod2-3,cur,774,774.0
americafirstcreditunion-mid-prod1-2,cur,763,763.0
bccsi-mid-prod1-2,cur,725,725.0
oresundsbron-mkt-prod2-1,cur,717,717.0
unicaja-rt-prod2-2,cur,683,683.0
riteaid-rt-prod2-1,cur,671,671.0
riteaid-rt-prod2-2,cur,656,656.0
sportsbet-rt-prod2-1,cur,646,646.0
aldisued-rt-prod6-3,cur,632,632.0
aldisued-rt-prod6-2,cur,626,626.0
lapostemobile-mid-prod1-2,cur,619,619.0
aldisued-rt-prod6-1,cur,618,618.0
sparknz-mid-prod3-2,cur,609,609.0
laredoute-rt-prod14-1,cur,607,607.0
laredoute-rt-prod15-2,cur,556,556.0
mmsngaa-rt-prod2-1,cur,552,552.0
allianzaustralia-mid-prod3-2,cur,546,546.0
mobivia-rt-prod2-2,cur,544,544.0
adeoservicesactivation-mid-prod2-2,new,542,542.0
adeoservicesactivation-mid-prod2-1,new,533,533.0
laredoute-rt-prod15-1,cur,529,529.0
mobivia-rt-prod2-1,cur,524,524.0
francetv-rt-prod2-2,cur,523,523.0
allianzaustralia-mid-prod3-1,cur,517,517.0
francetv-rt-prod2-4,cur,517,517.0
